experiment,timestamp,target_message_volume,message_index,input_topic,output_topic,raw_payload,normalized_payload,plaintext_bytes,policy,usk_attributes,ciphertext_bin_bytes,ciphertext_b64_bytes,mqtt_message_bytes,mqtt_compact_message_bytes,overhead_ciphertext_ratio,overhead_mqtt_ratio,overhead_mqtt_percentage,encryption_time_ms,decryption_time_ms,decrypt_success,recovered_output
exp3_message_volume_real_sensor,2026-05-24T19:52:02,120,83,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.80, ""hum"": 81.00}","{""temp"":24.8,""hum"":81.0}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,71.882,80.069,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.8,""hum"":81.0}"
exp3_message_volume_real_sensor,2026-05-24T19:52:06,120,84,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.324,71.604,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:11,120,85,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.927,79.918,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:16,120,86,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.211,79.525,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:21,120,87,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,70.331,71.27,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:27,120,88,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,79.908,80.093,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:32,120,89,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,83.188,77.011,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:37,120,90,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,68.021,91.497,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:42,120,91,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,68.487,88.349,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:47,120,92,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.341,79.705,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:52:52,120,93,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,60.237,79.615,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:52:57,120,94,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,79.824,83.483,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:53:02,120,95,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,75.389,73.051,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:07,120,96,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,78.505,81.595,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:12,120,97,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,69.804,78.278,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:17,120,98,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,73.294,83.293,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:22,120,99,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,72.395,74.91,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:53:27,120,100,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.90}","{""temp"":24.9,""hum"":80.9}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,75.528,75.569,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.9}"
exp3_message_volume_real_sensor,2026-05-24T19:53:32,120,101,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,72.625,80.518,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:37,120,102,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,64.714,72.835,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:42,120,103,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,72.69,83.17,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
