experiment,timestamp,run,payload_label,payload_target_bytes,plaintext_bytes,policy,usk_attributes,ciphertext_bin_bytes,ciphertext_b64_bytes,mqtt_message_bytes,mqtt_compact_message_bytes,overhead_ciphertext_ratio,overhead_mqtt_ratio,overhead_mqtt_percentage,encryption_time_ms,decryption_time_ms,decrypt_success,recovered_output
exp1_overhead_payload_size,2026-05-24T17:34:31,1,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,106.269,76.845,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:31,2,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,66.614,74.534,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:32,3,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,63.328,75.086,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:32,4,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.506,80.509,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:32,5,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,64.659,87.842,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:32,6,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,70.602,76.788,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:33,7,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,78.179,80.471,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:33,8,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,64.465,83.919,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:33,9,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,78.917,69.758,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
exp1_overhead_payload_size,2026-05-24T17:34:33,10,sensor_baseline,24,24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,72.658,79.694,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":77.1}"
